2019,"C",20
2012,"C",2
2014,"C",2
2015,"C",1
2016,"C",1
2017,"C",3
2018,"C",6
2019,"C",6
2020,"C",8
2021,"C",13
1970,"C",1
2019,"C",1
2014,"C",4
2015,"C",4
2016,"C",1
2017,"C",1
2018,"C",1
2019,"C",5
2020,"C",3
2021,"C",1
1992,"D",1
2010,"D",1
2014,"D",4
2016,"D",3
2018,"D",10
2019,"D",13
2020,"D",13
2021,"D",102
2014,"D",20
2015,"D",2
2017,"D",1
2018,"D",12
2019,"D",2
2021,"D",2
2010,"D",1
2019,"D",1
2020,"D",10
2021,"D",8
2022,"D",3
1989,"D",6
1994,"D",15
1997,"D",3
2008,"D",30
2009,"D",1207
2010,"D",1249
2011,"D",1105
2012,"D",1616
2013,"D",1769
2014,"D",1190
2015,"D",1677
2016,"D",1544
2017,"D",200
2018,"D",138
2019,"D",195
2020,"D",14
2021,"D",12
1941,"D",2
1969,"D",3
1970,"D",1
1971,"D",1
1972,"D",1
1973,"D",1
1981,"D",1
1982,"D",2
1985,"D",1
1986,"D",4
1991,"D",1
1992,"D",2
1993,"D",1
1998,"D",11
1999,"D",4
2000,"D",3
2001,"D",7
2002,"D",1
2004,"D",76
2005,"D",16
2006,"D",198
2007,"D",94
2008,"D",50
2009,"D",51
2010,"D",9
2011,"D",47
2012,"D",6
2013,"D",7
2014,"D",33
2015,"D",22
2016,"D",17
2017,"D",21
2018,"D",9
2019,"D",63
2021,"D",3
2022,"D",1
1995,"D",4
1997,"D",2
2002,"D",1
2009,"D",1
2010,"D",1
2012,"D",3
2013,"D",1
2014,"D",10
2015,"D",6
2016,"D",9
2017,"D",43
2018,"D",12
2019,"D",21
2020,"D",8
2021,"D",47
2009,"D",1
2010,"D",23
2011,"D",50
2012,"D",71
2013,"D",437
2014,"D",218
2015,"D",294
2016,"D",223
2017,"D",39
2018,"D",17
2019,"D",653
2020,"D",388
2021,"D",71
2006,"A",19
2008,"A",12
2010,"A",2
2011,"A",46
2012,"A",42
2013,"A",30
2014,"A",9
2015,"A",21
2016,"A",56
2017,"A",20
2018,"A",212
2019,"A",257
2020,"A",270
2021,"A",364
2022,"A",2
1956,"A",9
1957,"A",6
1963,"A",1
1965,"A",2
1974,"A",2
1976,"A",2
1978,"A",1
1986,"A",2
1987,"A",4
1988,"A",4
1989,"A",3
1990,"A",15
1991,"A",1
1992,"A",2
1993,"A",55
1994,"A",76
1995,"A",2
1996,"A",13
1997,"A",6
1998,"A",2
2000,"A",1
2001,"A",4
2002,"A",5
2003,"A",10
2004,"A",16
2005,"A",126
2006,"A",339
2007,"A",621
2008,"A",1293
2009,"A",1372
2010,"A",283
2011,"A",463
2012,"A",189
2013,"A",482
2014,"A",463
2015,"A",587
2016,"A",767
2017,"A",399
2018,"A",245
2019,"A",188
2020,"A",1081
2021,"A",1395
2020,"A",8
1972,"A",1
1977,"A",1
1978,"A",1
1979,"A",2
1980,"A",5
1982,"A",2
1983,"A",6
2016,"A",11
2017,"A",8
2018,"A",6
2021,"A",25
2007,"A",44
2008,"A",190
2009,"A",72
2010,"A",40
2011,"A",50
2012,"A",4
2013,"A",1
2016,"A",11
2018,"A",10
2019,"A",82
2020,"A",161
2021,"A",770
2011,"B",4
2012,"B",16
2017,"B",7
2022,"B",1
1934,"B",8
1935,"B",9
1936,"B",15
1937,"B",9
1938,"B",22
1939,"B",23
1940,"B",26
1941,"B",15
1942,"B",14
1943,"B",5
1944,"B",66
1945,"B",45
1946,"B",41
1956,"B",48
1957,"B",8
1959,"B",1
1961,"B",2
1963,"B",2
1966,"B",2
1967,"B",2
1968,"B",1
1972,"B",29
1973,"B",7
1974,"B",5
1975,"B",4
1976,"B",2
1977,"B",5
1979,"B",17
1981,"B",1
1982,"B",7
1983,"B",4
1984,"B",7
1987,"B",5
1988,"B",5
1989,"B",137
1990,"B",6
1991,"B",81
1992,"B",128
1993,"B",205
1994,"B",61
1996,"B",105
1997,"B",7
1999,"B",5
2000,"B",24
2004,"B",151
2005,"B",101
2006,"B",141
2007,"B",99
2008,"B",205
2009,"B",21
2010,"B",83
2011,"B",65
2012,"B",4
2013,"B",1
2015,"B",2
2016,"B",21
2017,"B",10
2018,"B",1
2019,"B",35
2020,"B",35
2021,"B",273
2016,"B",29
2018,"B",2
1998,"B",54
1999,"B",103
2000,"B",161
2001,"B",29
2002,"B",47
2004,"B",97
2005,"B",13
2006,"B",101
2007,"B",46
2008,"B",146
2010,"B",12
2011,"B",9
2015,"B",11
2016,"B",3
2018,"B",24
2019,"B",49
2020,"B",134
2021,"B",219
1973,"B",1
1991,"B",2
1992,"B",5
1993,"B",1
1994,"B",1
1995,"B",4
1999,"B",1
2002,"B",9
2003,"B",11
2004,"B",27
2005,"B",7
2006,"B",9
2007,"B",4
2008,"B",67
2009,"B",22
2010,"B",340
2011,"B",3219
2012,"B",2657
2013,"B",2033
2014,"B",1439
2015,"B",1452
2016,"B",1001
2017,"B",4515
2018,"B",5065
2019,"B",4171
2020,"B",6517
2021,"B",5128
2022,"B",2
2017,"B",11
2020,"B",21
2016,"B",2
2017,"B",2
2020,"B",16
2021,"B",185
2015,"B",9
2016,"B",2
2017,"B",14
2018,"B",17
2019,"B",27
2020,"B",18
2021,"B",18
2022,"B",1
1972,"B",1
2001,"B",5
2011,"B",37
2012,"B",126
2013,"B",18
2016,"B",20
2018,"B",1
2021,"B",27
2022,"B",1
2011,"B",2
2018,"B",1
2021,"B",3
2019,"B",1
2008,"C",55
2009,"C",2
2012,"C",66
2013,"C",4
2014,"C",4
2017,"C",98
2018,"C",26
2019,"C",77
2020,"C",366
2021,"C",332
2021,"C",2
2014,"C",1
2016,"C",182
2017,"C",2377
2018,"C",1704
2019,"C",1439
2020,"C",82
2021,"C",306
2022,"C",3
2002,"C",11
2003,"C",1
2006,"C",18
2007,"C",23
2008,"C",30
2014,"C",7
2015,"C",85
2016,"C",23
2017,"C",24
2018,"C",18
2019,"C",18
2021,"C",1
2022,"C",1
2008,"C",2
2012,"C",12
2015,"C",14
2018,"C",5
2019,"C",5
2021,"C",25
2021,"C",1
2002,"C",1
2003,"C",7
2006,"C",12
2007,"C",4
2011,"C",57
2012,"C",32
2013,"C",35
2015,"C",2
2016,"C",6
2017,"C",43
2018,"C",4
2019,"C",21
2021,"C",17
2021,"C",7
2014,"D",18
2015,"D",22
2020,"D",1
2014,"D",3
2015,"D",15
2016,"D",9
2017,"D",4
2019,"D",106
2020,"D",18
2021,"D",14
1975,"D",1
1985,"D",1
1992,"D",2
2015,"D",3
2016,"D",17
2017,"D",24
2018,"D",1
2019,"D",2
2020,"D",122
2021,"D",143
2013,"D",26
2014,"D",28
2015,"D",22
2022,"D",13
2020,"D",2
2021,"D",5
2008,"D",6
2014,"D",2
2019,"D",5
2021,"D",1
2005,"D",1
2008,"D",1
2009,"D",4
2012,"D",2
2015,"D",3
2017,"D",41
2018,"D",6
2020,"D",3
2022,"D",1
1997,"A",1
2014,"A",3
2015,"A",27
2016,"A",4
2017,"A",48
2018,"A",1
2019,"A",45
2020,"A",1
2021,"A",1
2010,"A",55
2011,"A",187
2012,"A",263
2013,"A",44
2014,"A",44
2015,"A",31
2016,"A",111
2017,"A",137
2018,"A",77
2019,"A",50
2020,"A",29
2021,"A",73
2007,"A",1
2009,"A",15
2011,"A",2
2012,"A",7
2013,"A",10
2014,"A",2
2015,"A",18
2016,"A",11
2017,"A",46
2018,"A",3
2019,"A",33
2020,"A",9
2021,"A",46
2015,"A",1
2021,"A",33
2016,"A",266
2012,"B",6
2013,"B",5
2016,"B",1
2017,"B",48
2018,"B",9
2019,"B",20
2020,"B",53
2021,"B",59
2022,"B",2
2013,"B",11
2016,"B",7
2017,"B",5
2018,"B",6
2019,"B",22
2021,"B",15
2012,"B",11
2016,"B",18
2017,"B",12
2018,"B",9
2019,"B",22
2020,"B",21
2021,"B",3
2022,"B",1
2010,"B",6
2015,"B",4
2017,"B",26
2018,"B",19
2019,"B",297
2020,"B",563
2021,"B",236
2022,"B",3
1958,"B",1
2004,"B",5
2011,"B",2
2012,"B",2
2014,"B",47
2017,"B",1
2018,"B",6
2019,"B",6
2020,"B",1
2021,"B",33
1940,"B",1
1973,"B",1
2010,"B",2
2015,"B",20
2016,"B",39
2017,"B",17
2018,"B",20
2019,"B",8
2021,"B",31
2003,"B",3
2007,"B",1
2012,"B",108
2013,"B",23
2014,"B",8
2015,"B",37
2017,"B",1
2018,"B",29
2019,"B",20
2020,"B",124
2021,"B",48
2022,"B",6
2014,"B",1
2017,"B",31
2018,"B",5
2019,"B",16
2020,"B",14
1966,"C",5
1967,"C",2
2010,"C",1
2011,"C",1
2012,"C",8
2014,"C",18
2015,"C",23
2016,"C",38
2017,"C",19
2018,"C",33
2019,"C",131
2020,"C",120
2021,"C",87
2022,"C",4
2001,"C",12
2004,"C",1
2012,"C",17
2013,"C",2
2014,"C",12
2015,"C",104
2016,"C",44
2017,"C",43
2018,"C",61
2019,"C",175
2020,"C",143
2021,"C",260
2022,"C",14
1995,"C",16
2001,"C",1
2002,"C",1
2005,"C",1
2009,"C",8
2011,"C",1
2012,"C",8
2013,"C",168
2014,"C",15
2015,"C",14
2016,"C",5
2017,"C",34
2018,"C",20
2019,"C",27
2020,"C",124
2021,"C",33
2022,"C",3
1990,"C",1
2000,"C",2
2009,"C",2
2010,"C",3
2011,"C",6
2012,"C",25
2013,"C",76
2014,"C",155
2015,"C",109
2016,"C",110
2017,"C",162
2018,"C",216
2019,"C",226
2020,"C",39
2021,"C",63
2022,"C",4
2019,"D",1
2020,"D",2
2021,"D",2
1977,"D",12
2001,"D",13
2004,"D",9
2005,"D",5
2007,"D",6
2008,"D",16
2009,"D",36
2010,"D",31
2013,"D",43
2014,"D",2
2015,"D",10
2016,"D",1
2017,"D",11
2018,"D",107
2019,"D",44
2020,"D",18
2021,"D",327
2022,"D",2
2015,"D",4
2019,"D",2
2021,"D",1
2007,"D",1
2017,"D",2
2019,"D",33
2020,"D",59
2021,"D",16
2006,"D",3
2008,"D",3
2011,"D",1
2012,"D",3
2014,"D",13
2015,"D",31
2016,"D",20
2017,"D",21
2018,"D",45
2019,"D",41
2020,"D",10
2021,"D",56
1988,"D",1
2009,"D",1
2011,"D",5
2012,"D",7
2013,"D",1
2014,"D",1
2015,"D",2
2016,"D",1
2017,"D",5
2018,"D",10
2019,"D",2
2020,"D",3
2021,"D",16
2015,"D",1
2020,"D",2
2006,"A",22
2009,"A",1
2012,"A",10
2013,"A",7
2014,"A",7
2017,"A",1
2018,"A",23
2019,"A",27
2020,"A",28
2021,"A",9
2022,"A",1
2016,"A",14
2007,"B",1
2014,"B",15
2020,"B",11
2001,"B",1
2003,"B",1
2009,"B",7
2010,"B",11
2012,"B",51
2013,"B",32
2014,"B",63
2015,"B",52
2016,"B",103
2017,"B",81
2018,"B",74
2019,"B",40
2020,"B",7
2021,"B",15
2022,"B",3
2021,"B",1
2022,"B",2
1998,"B",26
1999,"B",227
2000,"B",68
2001,"B",66
2002,"B",85
2003,"B",45
2004,"B",24
2005,"B",23
2006,"B",34
2007,"B",38
2008,"B",31
2009,"B",19
2010,"B",28
2011,"B",29
2012,"B",57
2014,"B",19
2015,"B",39
2016,"B",73
2017,"B",59
2018,"B",67
2019,"B",136
2020,"B",135
2021,"B",73
2019,"B",1
2021,"B",1
1999,"C",77
2000,"C",11
2001,"C",32
2002,"C",25
2004,"C",98
2005,"C",26
2008,"C",18
2009,"C",12
2014,"C",1
2015,"C",1
2017,"C",4
2018,"C",1
2019,"C",1
2020,"C",1
2021,"C",11
1934,"C",1
1937,"C",1
1940,"C",4
1960,"C",1
2013,"C",1
2014,"C",61
2015,"C",2
2016,"C",26
2017,"C",13
2018,"C",188
2019,"C",53
2020,"C",242
2021,"C",64
2022,"C",3
1998,"C",18
1999,"C",194
2000,"C",40
2001,"C",50
2002,"C",43
2003,"C",28
2004,"C",65
2005,"C",75
2006,"C",57
2007,"C",51
2008,"C",38
2009,"C",27
2010,"C",24
2011,"C",22
2012,"C",28
2013,"C",15
2014,"C",30
2015,"C",11
2016,"C",46
2017,"C",46
2018,"C",33
2019,"C",12
2020,"C",25
2021,"C",20
1932,"C",1
1936,"C",7
1937,"C",3
1939,"C",2
1946,"C",1
1966,"C",1
1994,"C",1
1997,"C",1
1999,"C",1
2003,"C",1
2005,"C",8
2007,"C",40
2008,"C",2
2009,"C",49
2010,"C",1
2011,"C",6
2013,"C",3
2014,"C",7
2015,"C",118
2016,"C",208
2017,"C",118
2018,"C",10
2019,"C",11
2020,"C",37
2021,"C",117
2022,"C",1
2018,"C",2
2019,"C",1
2020,"C",2
2021,"C",1
1972,"C",1
2018,"C",6
2000,"C",2
2017,"C",2
2018,"C",3
2020,"C",1
2014,"C",11
2020,"C",3
2012,"D",4
2014,"D",1
2018,"D",1
2020,"D",1
2022,"D",1
2015,"D",2
2017,"D",1
2018,"D",2
2020,"D",1
2021,"D",1
2016,"D",1
2018,"D",5
1997,"D",1
2014,"D",9
2015,"D",1
2017,"D",5
2018,"D",1
2019,"D",3
2022,"D",1
2021,"D",1
2022,"D",1
2017,"D",35
2018,"D",20
2019,"D",17
2021,"D",8
2022,"D",1
1998,"D",2
1999,"D",1
2001,"D",1
2002,"D",1
2013,"D",1
2000,"A",6
2003,"A",1
2005,"A",10
2007,"A",42
2008,"A",10
2009,"A",6
2010,"A",27
2011,"A",57
2012,"A",24
2013,"A",43
2014,"A",118
2015,"A",194
2016,"A",60
2017,"A",43
2018,"A",29
2019,"A",138
2020,"A",223
2021,"A",296
2022,"A",7
1987,"A",1
2003,"A",1
2004,"A",1
2010,"A",134
2011,"A",304
2012,"A",447
2013,"A",300
2014,"A",171
2015,"A",346
2016,"A",231
2017,"A",66
2018,"A",529
2019,"A",386
2020,"A",1129
2021,"A",808
2022,"A",11
2011,"A",1
2014,"A",18
2015,"A",5
2016,"A",24
2018,"A",20
2019,"A",57
2020,"A",208
2021,"A",299
2022,"A",4
1984,"A",9
2000,"A",3
2005,"A",255
2006,"A",33
2007,"A",34
2008,"A",19
2009,"A",11
2010,"A",71
2011,"A",66
2012,"A",119
2013,"A",96
2014,"A",214
2015,"A",88
2016,"A",39
2017,"A",32
2018,"A",50
2019,"A",102
2020,"A",92
2021,"A",405
2022,"A",115
1999,"A",11
2001,"A",1
2006,"A",21
2008,"A",147
2009,"A",239
2010,"A",845
2011,"A",529
2012,"A",813
2013,"A",370
2014,"A",578
2015,"A",644
2016,"A",411
2017,"A",795
2018,"A",852
2019,"A",1517
2020,"A",1834
2021,"A",1925
2022,"A",27
1983,"A",4
1992,"A",2
2006,"A",11
2007,"A",29
2009,"A",14
2010,"A",32
2011,"A",44
2012,"A",28
2013,"A",4
2014,"A",78
2015,"A",35
2016,"A",18
2017,"A",13
2018,"A",1
2019,"A",9
2020,"A",41
2021,"A",75
2022,"A",30
2004,"A",3
2005,"A",4
2006,"A",20
2007,"A",23
2008,"A",18
2009,"A",21
2010,"A",24
2011,"A",253
2012,"A",81
2013,"A",32
2014,"A",7
2015,"A",20
2016,"A",17
2017,"A",69
2018,"A",218
2019,"A",153
2020,"A",14
2021,"A",353
2022,"A",23
1938,"A",1
1991,"A",14
2010,"A",117
2011,"A",367
2012,"A",117
2013,"A",10
2014,"A",23
2015,"A",21
2016,"A",6
2017,"A",42
2018,"A",57
2019,"A",27
2020,"A",78
2021,"A",189
2022,"A",38
2003,"A",10
2007,"A",17
2008,"A",29
2012,"A",3
2013,"A",1
2015,"A",4
2017,"A",2
2019,"A",1
2020,"A",3
2021,"A",34
2022,"A",4
2007,"A",6
2008,"A",11
2009,"A",157
2010,"A",320
2011,"A",159
2012,"A",74
2013,"A",43
2014,"A",98
2015,"A",58
2016,"A",73
2017,"A",95
2018,"A",18
2019,"A",6
2020,"A",92
2021,"A",384
2022,"A",8
2012,"A",1
2014,"A",1
2018,"A",1
2019,"A",4
2021,"A",10
2022,"A",7
1999,"A",21
2006,"A",53
2007,"A",59
2012,"A",2
2013,"A",22
2014,"A",4
2015,"A",30
2016,"A",9
2017,"A",13
2018,"A",111
2019,"A",53
2020,"A",298
2021,"A",191
2022,"A",6
1994,"A",8
2006,"A",34
2015,"A",79
2016,"A",36
2017,"A",26
2018,"A",60
2019,"A",57
2020,"A",803
2021,"A",181
2022,"A",2
1969,"A",44
1970,"A",2
1971,"A",14
1972,"A",12
1974,"A",7
1975,"A",86
1976,"A",55
1977,"A",75
1978,"A",59
1979,"A",141
1980,"A",111
1981,"A",2
1982,"A",44
1983,"A",22
1984,"A",54
1985,"A",88
1986,"A",39
1987,"A",73
1988,"A",38
1989,"A",63
1990,"A",47
1991,"A",1
1992,"A",37
1994,"A",63
1996,"A",1
1997,"A",9
1998,"A",22
2000,"A",44
2001,"A",41
2002,"A",25
2003,"A",111
2004,"A",50
2005,"A",36
2006,"A",65
2007,"A",363
2008,"A",792
2009,"A",589
2010,"A",826
2011,"A",1104
2012,"A",1830
2013,"A",4995
2014,"A",6200
2015,"A",5133
2016,"A",6267
2017,"A",8535
2018,"A",12786
2019,"A",7183
2020,"A",7808
2021,"A",11453
2022,"A",75
2010,"A",1
2018,"A",1
2019,"A",2
2020,"A",5
2021,"A",10
2022,"A",8
2016,"A",15
2022,"A",1
2012,"A",1
2014,"A",12
2015,"A",8
2016,"A",24
2017,"A",31
2018,"A",12
2019,"A",14
2020,"A",28
2021,"A",9
2022,"A",1
2013,"A",4
2014,"A",8
2016,"A",2
2017,"A",1
2019,"A",42
2020,"A",42
2021,"A",13
2022,"A",10
1951,"A",35
1952,"A",3
1954,"A",2
1955,"A",1
1956,"A",1
1970,"A",1
1971,"A",3
2015,"A",1
2016,"A",13
2019,"A",11
2020,"A",16
2021,"A",10
2022,"A",4
1972,"A",2
1978,"A",1
1981,"A",1
1983,"A",3
1984,"A",1
1988,"A",1
1990,"A",1
1991,"A",2
1992,"A",3
2011,"A",3
2015,"A",14
2016,"A",10
2017,"A",5
2018,"A",8
2019,"A",13
2020,"A",16
2021,"A",29
2022,"A",1
1990,"A",45
2001,"A",3
2006,"A",1
2008,"A",7
2009,"A",13
2010,"A",5
2011,"A",9
2012,"A",4
2013,"A",1
2014,"A",15
2015,"A",37
2016,"A",4
2017,"A",22
2018,"A",30
2019,"A",12
2020,"A",68
2021,"A",58
2022,"A",19
2010,"A",2
2016,"A",3
2017,"A",2
2019,"A",43
2020,"A",18
2021,"A",82
2022,"A",9
1969,"A",20
1978,"A",28
1982,"A",1
1990,"A",9
1991,"A",1
1998,"A",5
2000,"A",16
2007,"A",49
2009,"A",34
2010,"A",11
2011,"A",74
2012,"A",24
2013,"A",63
2014,"A",74
2015,"A",1419
2016,"A",1208
2017,"A",1420
2018,"A",686
2019,"A",973
2020,"A",1520
2021,"A",917
2022,"A",14
2012,"A",31
2013,"A",184
2014,"A",29
2015,"A",35
2016,"A",70
2017,"A",88
2018,"A",192
2019,"A",215
