Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1969,A,338,338,1282.2201636079528,0.26360527590591354
1970,A,411,411,1282.2201636079528,0.3205377763234629
1971,A,302,302,1282.2201636079528,0.23552897433013575
1972,A,840,840,1282.2201636079528,0.6551137034348147
1973,A,766,766,1282.2201636079528,0.5974013057512715
1974,A,679,679,1282.2201636079528,0.5295502436098085
1975,A,1645,1645,1282.2201636079528,1.2829310025598455
1976,A,1295,1295,1282.2201636079528,1.009966959462006
1977,A,980,980,1282.2201636079528,0.7642993206739505
1978,A,782,782,1282.2201636079528,0.6098796620071727
1979,A,401,401,1282.2201636079528,0.31273880366352463
1980,A,528,528,1282.2201636079528,0.4117857564447407
1981,A,1639,1639,1282.2201636079528,1.2782516189638824
1982,A,591,591,1282.2201636079528,0.4609192842023518
1983,A,587,587,1282.2201636079528,0.4577996951383765
1984,A,406,406,1282.2201636079528,0.31663828999349375
1985,A,551,551,1282.2201636079528,0.4297233935625987
1986,A,241,241,1282.2201636079528,0.1879552411045123
1987,A,449,449,1282.2201636079528,0.35017387243122833
1988,A,522,522,1282.2201636079528,0.4071063728487777
1989,A,489,489,1282.2201636079528,0.3813697630709814
1990,A,926,926,1282.2201636079528,0.7221848683102838
1991,A,707,707,1282.2201636079528,0.5513873670576357
1992,A,642,642,1282.2201636079528,0.5006940447680369
1993,A,986,986,1282.2201636079528,0.7689787042699134
1994,A,731,731,1282.2201636079528,0.5701049014414875
1995,A,734,734,1282.2201636079528,0.5724445932394691
1996,A,1134,1134,1282.2201636079528,0.8844034996369998
1997,A,859,859,1282.2201636079528,0.6699317514886974
1998,A,1390,1390,1282.2201636079528,1.0840571997314197
1999,A,3423,3423,1282.2201636079528,2.66958834149687
2000,A,4633,4633,1282.2201636079528,3.6132640333494006
2001,A,4932,4932,1282.2201636079528,3.846453315881555
2002,A,5446,5446,1282.2201636079528,4.247320510602382
2003,A,6727,6727,1282.2201636079528,5.246368908340474
2004,A,6625,6625,1282.2201636079528,5.166819387209104
2005,A,8599,8599,1282.2201636079528,6.706336590280919
2006,A,12188,12188,1282.2201636079528,9.505387877932764
2007,A,14969,14969,1282.2201636079528,11.674282174661597
