Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1997,A,859,24615,1282.2201636079528,19.197171202438053
1998,A,1390,26005,1282.2201636079528,20.28122840216947
1999,A,3423,29428,1282.2201636079528,22.95081674366634
2000,A,4633,34061,1282.2201636079528,26.564080777015743
2001,A,4932,38993,1282.2201636079528,30.410534092897297
2002,A,5446,44439,1282.2201636079528,34.65785460349968
2003,A,6727,51166,1282.2201636079528,39.90422351184015
2004,A,6625,57791,1282.2201636079528,45.07104289904926
2005,A,8599,66390,1282.2201636079528,51.77737948933018
2006,A,12188,78578,1282.2201636079528,61.28276736726294
2007,A,14969,93547,1282.2201636079528,72.95704954192453
2008,A,21901,115448,1282.2201636079528,90.03757956445534
2009,A,26262,141710,1282.2201636079528,110.51924156398523
2010,A,35644,177354,1282.2201636079528,138.3178997130692
2011,A,59246,236600,1282.2201636079528,184.52369313413948
2012,A,62132,298732,1282.2201636079528,232.98027006486794
2013,A,88491,387223,1282.2201636079528,301.9941590299277
2014,A,92152,479375,1282.2201636079528,373.8632518857908
2015,A,110810,590185,1282.2201636079528,460.2836679305668
2016,A,136828,727013,1282.2201636079528,566.9954510419702
2017,A,149886,876899,1282.2201636079528,683.8911326527209
2018,A,179065,1055964,1282.2201636079528,823.5434365879056
2019,A,206374,1262338,1282.2201636079528,984.4939549601156
2020,A,365862,1628200,1282.2201636079528,1269.8287284911491
2021,A,404686,2032886,1282.2201636079528,1585.442233477127
2022,A,3790,2036676,1282.2201636079528,1588.3980441152437
1932,B,1582,1582,2947.544772010218,0.5367178863651595
1933,B,697,2279,2947.544772010218,0.7731858805475338
1934,B,893,3172,2947.544772010218,1.0761498960494853
1935,B,688,3860,2947.544772010218,1.3095645014977975
1936,B,733,4593,2947.544772010218,1.5582460506164206
1937,B,1660,6253,2947.544772010218,2.121426639343453
1938,B,2538,8791,2947.544772010218,2.9824822623489995
1939,B,1043,9834,2947.544772010218,3.336336090085321
1940,B,656,10490,2947.544772010218,3.5588942022569676
